"Severity","Freq","Map_ID"
"5",10,12634
"6",142,12634
"0",129,12411
"1",1280,12411
"2",4514,12411
"3",2255,12411
"4",2,12411
"0",322,12452
"1",3686,12452
"2",14471,12452
"3",5455,12452
"4",247,12452
"0",791,12450
"1",4383,12450
"2",21115,12450
"3",14518,12450
"5",20,12450
"0",108,12537
"1",1513,12537
"2",1380,12537
"3",1447,12537
"4",1379,12537
"5",49,12537
"0",116,12546
"1",1348,12546
"2",2623,12546
"3",3181,12546
"4",1424,12546
"5",5,12546
"0",213,12566
"1",4068,12566
"2",2082,12566
"3",4560,12566
"4",4971,12566
"5",26,12566
"0",707,12635
"1",2277,12635
"2",18125,12635
"3",8563,12635
"4",1111,12635
"5",21,12635
"0",159,12785
"1",3571,12785
"2",11079,12785
"3",804,12785
"4",208,12785
"0",137,12633
"1",4844,12633
"2",2500,12633
"3",803,12633
"4",274,12633
"5",81,12633
"0",167,12638
"1",1005,12638
"2",3202,12638
"3",2128,12638
"4",1935,12638
"5",47,12638
"0",151,12545
"1",5094,12545
"2",1637,12545
"3",162,12545
"4",8,12545
"5",136,12545
"0",283,12553
"1",2220,12553
"2",4318,12553
"3",5233,12553
"4",2633,12553
"5",45,12553
"0",141,12643
"1",5172,12643
"2",5055,12643
"3",3039,12643
"4",741,12643
"5",200,12643
"0",112,12547
"1",1619,12547
"2",2004,12547
"3",1152,12547
"4",208,12547
"5",14,12547
"0",116,12636
"1",1636,12636
"2",1780,12636
"3",1650,12636
"4",1707,12636
"5",40,12636
"0",153,12637
"1",3530,12637
"2",4678,12637
"3",3403,12637
"4",2426,12637
"5",87,12637
"0",405,12658
"1",9683,12658
"2",26395,12658
"3",72169,12658
"4",25800,12658
"5",61,12658
"0",2265,10021825
"1",22911,10021825
"2",31107,10021825
"3",36531,10021825
"4",15557,10021825
"5",50,10021825
"0",127,12541
"1",1528,12541
"2",8465,12541
"0",99,10005759
"1",818,10005759
"2",6965,10005759
"3",530,10005759
"5",3,10005759
"0",94,12783
"1",3799,12783
"2",989,12783
"3",284,12783
"4",87,12783
"5",37,12783
"0",112,12535
"1",1756,12535
"2",1770,12535
"3",670,12535
"4",168,12535
"5",322,12535
"0",133,12782
"1",1417,12782
"2",1222,12782
"3",1355,12782
"4",840,12782
"5",28,12782
"0",88,12544
"1",685,12544
"2",3956,12544
"3",974,12544
"4",5,12544
"5",1,12544
"0",105,12628
"1",695,12628
"2",4984,12628
"3",1134,12628
"4",166,12628
"0",224,12626
"1",934,12626
"2",14654,12626
"3",5216,12626
"4",434,12626
"0",621,12627
"1",1800,12627
"2",60968,12627
"3",21626,12627
"4",2264,12627
"5",2,12627
"0",272,12539
"1",842,12539
"2",13113,12539
"3",8591,12539
"4",867,12539
"0",101,12556
"1",441,12556
"2",1940,12556
"3",3085,12556
"4",1,12556
"0",175,12555
"1",2085,12555
"2",5209,12555
"3",2637,12555
"4",22,12555
"5",114,12555
"0",314,10007971
"1",1326,10007971
"2",18537,10007971
"3",14959,10007971
"4",824,10007971
"5",1,10007971
"6",20,10007971
"0",118,12449
"1",657,12449
"2",719,12449
"3",1499,12449
"4",3531,12449
"0",109,12536
"1",2396,12536
"2",1890,12536
"3",305,12536
"4",2,12536
"5",64,12536
"0",78,12542
"1",309,12542
"2",401,12542
"3",1546,12542
"4",3575,12542
"5",59,12542
"0",1682,12549
"1",93407,12549
"2",72322,12549
"3",67363,12549
"4",55248,12549
"5",8349,12549
"0",115,12550
"1",2511,12550
"2",2634,12550
"3",605,12550
"4",71,12550
"5",102,12550
"0",128,12551
"1",3315,12551
"2",2975,12551
"3",2152,12551
"4",810,12551
"5",83,12551
"0",241,10019577
"1",6772,10019577
"2",15154,10019577
"3",3298,10019577
"4",277,10019577
"5",94,10019577
"6",95,10019577
"0",249,12448
"1",9142,12448
"2",6702,12448
"3",112,12448
"5",158,12448
"0",2419,12642
"1",105628,12642
"2",203754,12642
"3",182967,12642
"4",169276,12642
"5",1486,12642
"0",554,12639
"1",11863,12639
"2",16494,12639
"3",36489,12639
"4",30821,12639
"5",201,12639
"0",259,12675
"1",7347,12675
"2",2270,12675
"3",1501,12675
"4",178,12675
"5",76,12675
"0",183,12540
"1",2509,12540
"2",6502,12540
"3",2830,12540
"4",183,12540
"0",311,12640
"1",7300,12640
"2",16999,12640
"3",7288,12640
"4",1430,12640
"5",28,12640
"0",228,12641
"1",6181,12641
"2",16271,12641
"3",7544,12641
"4",339,12641
"5",12,12641
"6",11,12641
"0",663,12630
"1",40945,12630
"2",38765,12630
"3",47396,12630
"4",27250,12630
"5",15471,12630
"0",1277,12629
"1",8339,12629
"2",55333,12629
"3",21842,12629
"4",6852,12629
"5",180,12629
"0",117,10006543
"1",1491,10006543
"2",4533,10006543
"3",561,10006543
"5",6,10006543
"0",162,12552
"1",5418,12552
"2",1854,12552
"3",689,12552
"4",62,12552
"5",36,12552
"0",245,13316
"1",727,13316
"2",6758,13316
"0",59,13317
"1",90,13317
"2",5479,13317
"6",4,13317
"0",152,13318
"1",1962,13318
"2",8374,13318
"6",35,13318
"0",260,10005806
"1",839,10005806
"2",4033,10005806
"3",187,10005806
"5",2,10005806
"0",277,10008005
"1",1547,10008005
"2",30620,10008005
"3",2956,10008005
"0",139,12963
"1",807,12963
"2",4700,12963
"3",2357,12963
"4",2,12963
"5",6,12963
"0",90,12964
"1",358,12964
"2",1977,12964
"3",2768,12964
"5",1,12964
"0",117,12899
"1",1306,12899
"2",4065,12899
"3",1185,12899
"4",25,12899
"5",14,12899
"0",290,12962
"1",9941,12962
"2",36134,12962
"3",481,12962
"5",1,12962
"0",105,12896
"1",783,12896
"2",4400,12896
"3",159,12896
"5",8,12896
"0",221,10007170
"1",3612,10007170
"2",11183,10007170
"3",7747,10007170
"0",166,12982
"1",5211,12982
"2",6598,12982
"3",367,12982
"5",242,12982
"0",90,13213
"1",4090,13213
"2",1537,13213
